"t","L","S","E","I_S","I_A","H","R","D","V","J","u_L","u_V"
"0","0.6","0.3","0.1","0","6.23E-33","0.00E+00","1.05E-35","0.00E+00","0","0.00E+00","0.00279124","0.0101822"
"0.1825","0.595283","0.304046","0.0965598","0.000415491","0.00304375","7.24E-06","5.03E-05","2.59E-08","0.000594776","6.14E-06","0.00275265","0.0103396"
"0.365","0.590516","0.307976","0.0933875","0.000795369","0.00589343","2.77E-05","1.99E-04","1.22E-07","0.00120587","1.29E-05","0.00271492","0.0104914"
"0.5475","0.585707","0.311791","0.090464","0.00114258","0.0085629","5.89E-05","4.40E-04","3.22E-07","0.00183293","2.06E-05","0.00267795","0.0106379"
"0.73","0.580864","0.315496","0.0877715","0.00145984","0.011065","9.88E-05","0.000768331","6.52E-07","0.00247561","2.93E-05","0.0026417","0.0107792"
"0.9125","0.575993","0.319092","0.0852933","0.00174965","0.0134117","1.46E-04","0.00117989","1.13E-06","0.00313355","3.93E-05","0.00260609","0.0109155"
"1.095","0.5711","0.322582","0.0830139","0.00201432","0.015614","1.98E-04","0.00166979","1.78E-06","0.00380639","5.05E-05","0.00257108","0.0110469"
"1.2775","0.56619","0.325968","0.080919","0.00225596","0.0176823","2.54E-04","0.00223373","2.61E-06","0.00449377","6.33E-05","0.00253663","0.0111736"
"1.46","0.561268","0.329254","0.0789952","0.00247652","0.0196261","3.13E-04","0.00286764","3.63E-06","0.00519534","7.74E-05","0.00250268","0.0112957"
"1.6425","0.556339","0.332441","0.07723","0.00267779","0.0214542","3.75E-04","0.00356766","4.84E-06","0.00591074","9.32E-05","0.00246921","0.0114135"
"1.825","0.551408","0.335532","0.0756117","0.00286144","0.0231748","4.37E-04","0.00433014","6.25E-06","0.0066396","1.10E-04","0.00243619","0.011527"
"2.0075","0.546477","0.338528","0.0741298","0.00302897","0.0247957","0.000499564","0.00515165","7.86E-06","0.00738157","1.29E-04","0.00240357","0.0116364"
"2.19","0.54155","0.341433","0.0727741","0.00318177","0.0263237","0.000562112","0.00602893","9.67E-06","0.00813629","1.50E-04","0.00237134","0.0117418"
"2.3725","0.536631","0.344249","0.0715354","0.00332114","0.0277656","0.000624037","0.00695892","1.17E-05","0.00890342","1.71E-04","0.00233949","0.0118434"
"2.555","0.531723","0.346976","0.0704051","0.00344824","0.0291274","0.000684948","0.00793872","1.39E-05","0.00968259","1.95E-04","0.00230797","0.0119413"
"2.7375","0.526827","0.349619","0.069375","0.00356416","0.0304147","0.000744529","0.00896564","1.63E-05","0.0104735","2.20E-04","0.00227679","0.0120355"
"2.92","0.521948","0.352178","0.0684379","0.00366988","0.0316327","0.000802528","0.0100371","1.88E-05","0.0112757","2.46E-04","0.00224592","0.0121263"
"3.1025","0.517086","0.354655","0.0675867","0.00376632","0.0327864","0.000858752","0.0111507","2.16E-05","0.0120889","2.74E-04","0.00221536","0.0122136"
"3.285","0.512244","0.357052","0.0668151","0.0038543","0.0338803","0.000913054","0.0123042","2.45E-05","0.0129128","3.02E-04","0.00218509","0.0122977"
"3.4675","0.507423","0.359372","0.066117","0.0039346","0.0349184","0.000965327","0.0134954","2.76E-05","0.013747","3.33E-04","0.00215509","0.0123785"
"3.65","0.502625","0.361615","0.065487","0.00400791","0.0359047","0.0010155","0.0147223","3.08E-05","0.0145913","3.64E-04","0.00212537","0.0124563"
"3.8325","0.497853","0.363784","0.0649199","0.00407487","0.0368427","0.00106354","0.0159832","3.42E-05","0.0154452","3.97E-04","0.00209592","0.0125311"
"4.015","0.493106","0.36588","0.064411","0.00413607","0.0377359","0.00110942","0.0172762","3.77E-05","0.0163084","4.31E-04","0.00206672","0.012603"
"4.1975","0.488386","0.367904","0.0639557","0.00419204","0.0385872","0.00115315","0.0185996","4.14E-05","0.0171807","4.65E-04","0.00203778","0.012672"
"4.38","0.483695","0.369859","0.06355","0.00424328","0.0393995","0.00119476","0.019952","4.52E-05","0.0180616","0.000501342","0.00200909","0.0127382"
"4.5625","0.479032","0.371745","0.0631902","0.00429024","0.0401755","0.00123427","0.0213318","4.91E-05","0.0189509","0.000538186","0.00198065","0.0128018"
"4.745","0.4744","0.373565","0.0628725","0.00433332","0.0409177","0.00127175","0.0227378","5.32E-05","0.0198484","0.000575954","0.00195245","0.0128628"
"4.9275","0.469799","0.37532","0.0625938","0.00437289","0.0416283","0.00130724","0.0241685","5.73E-05","0.0207535","0.000614598","0.00192449","0.0129212"
"5.11","0.465229","0.37701","0.062351","0.0044093","0.0423094","0.00134081","0.025623","6.16E-05","0.0216662","0.00065407","0.00189677","0.0129772"
"5.2925","0.460691","0.378637","0.0621412","0.00444286","0.0429629","0.00137254","0.0270999","6.60E-05","0.022586","0.000694328","0.00186928","0.0130307"
"5.475","0.456186","0.380204","0.0619618","0.00447385","0.0435908","0.0014025","0.0285983","7.04E-05","0.0235126","0.000735327","0.00184204","0.0130819"
"5.6575","0.451714","0.38171","0.0618104","0.00450252","0.0441946","0.00143075","0.0301172","7.50E-05","0.0244459","0.000777027","0.00181503","0.0131308"
"5.84","0.447275","0.383157","0.0616846","0.00452912","0.044776","0.00145739","0.0316557","7.96E-05","0.0253854","0.000819389","0.00178825","0.0131774"
"6.0225","0.44287","0.384547","0.0615824","0.00455384","0.0453363","0.00148249","0.0332129","8.43E-05","0.0263309","0.000862374","0.00176171","0.0132219"
"6.205","0.4385","0.38588","0.0615018","0.0045769","0.0458769","0.00150613","0.034788","8.91E-05","0.0272821","0.000905948","0.0017354","0.0132642"
"6.3875","0.434163","0.387157","0.061441","0.00459846","0.0463991","0.00152839","0.0363802","9.40E-05","0.0282387","0.000950077","0.00170933","0.0133045"
"6.57","0.429861","0.388381","0.0613982","0.00461867","0.0469039","0.00154935","0.0379888","9.89E-05","0.0292006","0.000994729","0.00168349","0.0133427"
"6.7525","0.425594","0.389551","0.061372","0.00463769","0.0473924","0.00156907","0.0396131","1.04E-04","0.0301673","0.00103987","0.00165789","0.0133789"
"6.935","0.421361","0.390669","0.0613608","0.00465563","0.0478657","0.00158763","0.0412526","1.09E-04","0.0311386","0.00108548","0.00163252","0.0134132"
"7.1175","0.417164","0.391736","0.0613632","0.00467263","0.0483245","0.00160511","0.0429066","1.14E-04","0.0321143","0.00113153","0.00160739","0.0134456"
"7.3","0.413001","0.392753","0.061378","0.00468877","0.0487698","0.00162157","0.0445746","1.19E-04","0.0330941","0.00117799","0.0015825","0.0134761"
"7.4825","0.408873","0.393721","0.0614041","0.00470416","0.0492024","0.00163708","0.0462561","1.24E-04","0.0340778","0.00122483","0.00155784","0.0135047"
"7.665","0.404781","0.394641","0.0614402","0.00471888","0.0496228","0.00165169","0.0479505","1.30E-04","0.0350651","0.00127205","0.00153343","0.0135316"
"7.8475","0.400723","0.395513","0.0614855","0.00473301","0.0500319","0.00166547","0.0496574","1.35E-04","0.0360557","0.0013196","0.00150925","0.0135568"
"8.03","0.3967","0.39634","0.0615389","0.00474661","0.0504302","0.00167848","0.0513764","1.40E-04","0.0370494","0.00136749","0.00148531","0.0135802"
"8.2125","0.392712","0.397121","0.0615996","0.00475974","0.0508182","0.00169076","0.053107","1.46E-04","0.038046","0.00141568","0.0014616","0.013602"
"8.395","0.388759","0.397858","0.0616666","0.00477246","0.0511965","0.00170238","0.0548489","1.51E-04","0.0390453","0.00146416","0.00143814","0.0136221"
"8.5775","0.38484","0.398551","0.0617394","0.00478481","0.0515656","0.00171337","0.0566017","1.56E-04","0.0400469","0.00151291","0.00141492","0.0136406"
"8.76","0.380956","0.399202","0.061817","0.00479684","0.051926","0.00172378","0.0583651","1.62E-04","0.0410507","0.00156192","0.00139194","0.0136576"
"8.9425","0.377107","0.399811","0.061899","0.00480858","0.0522779","0.00173365","0.0601387","1.67E-04","0.0420565","0.00161118","0.00136921","0.013673"
"9.125","0.373292","0.400379","0.0619846","0.00482006","0.0526218","0.00174302","0.0619222","1.73E-04","0.043064","0.00166067","0.00134671","0.0136868"
"9.3075","0.369511","0.400907","0.0620733","0.00483131","0.0529581","0.00175194","0.0637153","1.78E-04","0.044073","0.00171038","0.00132446","0.0136992"
"9.49","0.365765","0.401396","0.0621645","0.00484235","0.0532871","0.00176043","0.0655177","1.84E-04","0.0450834","0.00176029","0.00130244","0.0137102"
"9.6725","0.362052","0.401846","0.0622577","0.00485321","0.0536089","0.00176852","0.0673292","1.90E-04","0.0460948","0.00181041","0.00128068","0.0137197"
"9.855","0.358373","0.402259","0.0623524","0.00486391","0.053924","0.00177626","0.0691495","1.95E-04","0.0471071","0.00186071","0.00125915","0.0137278"
"10.0375","0.354728","0.402634","0.0624483","0.00487444","0.0542326","0.00178365","0.0709783","2.01E-04","0.0481201","0.00191119","0.00123787","0.0137345"
"10.22","0.351116","0.402973","0.0625449","0.00488484","0.0545348","0.00179074","0.0728154","2.07E-04","0.0491336","0.00196184","0.00121683","0.0137399"
"10.4025","0.347537","0.403277","0.0626417","0.0048951","0.054831","0.00179753","0.0746607","2.12E-04","0.0501474","0.00201265","0.00119603","0.0137439"
"10.585","0.343991","0.403547","0.0627386","0.00490524","0.0551212","0.00180407","0.0765137","2.18E-04","0.0511612","0.00206361","0.00117547","0.0137467"
"10.7675","0.340479","0.403782","0.062835","0.00491526","0.0554057","0.00181035","0.0783745","2.24E-04","0.052175","0.00211472","0.00115516","0.0137482"
"10.95","0.336999","0.403984","0.0629308","0.00492517","0.0556846","0.00181641","0.0802427","2.30E-04","0.0531886","0.00216597","0.00113509","0.0137484"
"11.1325","0.333551","0.404153","0.0630256","0.00493496","0.055958","0.00182226","0.0821181","2.35E-04","0.0542016","0.00221735","0.00111526","0.0137474"
"11.315","0.330136","0.404291","0.0631191","0.00494464","0.0562261","0.00182792","0.0840006","2.41E-04","0.0552141","0.00226886","0.00109568","0.0137452"
"11.4975","0.326752","0.404397","0.0632111","0.0049542","0.056489","0.00183339","0.08589","2.47E-04","0.0562258","0.00232049","0.00107633","0.0137419"
"11.68","0.323401","0.404473","0.0633013","0.00496366","0.0567469","0.00183869","0.087786","2.53E-04","0.0572365","0.00237224","0.00105723","0.0137374"
"11.8625","0.320081","0.404519","0.0633896","0.004973","0.0569997","0.00184384","0.0896886","2.59E-04","0.058246","0.00242409","0.00103836","0.0137317"
"12.045","0.316793","0.404536","0.0634757","0.00498222","0.0572476","0.00184884","0.0915975","2.64E-04","0.0592543","0.00247606","0.00101974","0.013725"
"12.2275","0.313536","0.404525","0.0635595","0.00499132","0.0574907","0.0018537","0.0935126","2.70E-04","0.0602612","0.00252813","0.00100135","0.0137171"
"12.41","0.31031","0.404486","0.0636406","0.0050003","0.057729","0.00185844","0.0954336","2.76E-04","0.0612664","0.0025803","0.000983203","0.0137082"
"12.5925","0.307115","0.404419","0.0637191","0.00500914","0.0579626","0.00186305","0.0973605","2.82E-04","0.0622699","0.00263256","0.000965291","0.0136983"
"12.775","0.30395","0.404326","0.0637947","0.00501785","0.0581915","0.00186755","0.0992931","2.88E-04","0.0632715","0.00268491","0.000947615","0.0136873"
"12.9575","0.300816","0.404207","0.0638672","0.00502642","0.0584159","0.00187193","0.101231","2.94E-04","0.0642711","0.00273734","0.000930175","0.0136753"
"13.14","0.297712","0.404062","0.0639366","0.00503485","0.0586357","0.00187622","0.103175","3.00E-04","0.0652684","0.00278986","0.000912968","0.0136623"
"13.3225","0.294638","0.403893","0.0640027","0.00504312","0.0588509","0.0018804","0.105123","3.06E-04","0.0662635","0.00284246","0.000895995","0.0136484"
"13.505","0.291593","0.403699","0.0640654","0.00505123","0.0590617","0.00188448","0.107077","3.12E-04","0.0672561","0.00289514","0.000879254","0.0136335"
"13.6875","0.288578","0.403482","0.0641245","0.00505918","0.059268","0.00188847","0.109035","3.18E-04","0.0682462","0.00294788","0.000862744","0.0136177"
"13.87","0.285593","0.403242","0.0641801","0.00506696","0.0594699","0.00189238","0.110999","3.24E-04","0.0692335","0.0030007","0.000846463","0.013601"
"14.0525","0.282636","0.402979","0.0642319","0.00507456","0.0596674","0.00189619","0.112967","3.30E-04","0.070218","0.00305358","0.000830411","0.0135834"
"14.235","0.279709","0.402695","0.0642799","0.00508197","0.0598604","0.00189991","0.114939","3.36E-04","0.0711995","0.00310653","0.000814586","0.0135649"
"14.4175","0.27681","0.402389","0.064324","0.00508919","0.0600491","0.00190356","0.116915","3.42E-04","0.072178","0.00315954","0.000798987","0.0135456"
"14.6","0.273939","0.402063","0.0643642","0.00509622","0.0602334","0.00190711","0.118896","3.48E-04","0.0731534","0.0032126","0.000783612","0.0135255"
"14.7825","0.271097","0.401716","0.0644003","0.00510304","0.0604133","0.00191058","0.120881","3.54E-04","0.0741254","0.00326572","0.00076846","0.0135045"
"14.965","0.268282","0.401349","0.0644324","0.00510965","0.0605889","0.00191397","0.122869","3.60E-04","0.0750941","0.00331888","0.000753529","0.0134827"
"15.1475","0.265496","0.400963","0.0644603","0.00511604","0.0607601","0.00191728","0.124862","3.66E-04","0.0760592","0.0033721","0.000738819","0.0134602"
"15.33","0.262737","0.400559","0.064484","0.00512221","0.0609269","0.0019205","0.126857","3.72E-04","0.0770208","0.00342536","0.000724326","0.0134369"
"15.5125","0.260005","0.400137","0.0645034","0.00512815","0.0610894","0.00192364","0.128857","3.78E-04","0.0779787","0.00347867","0.000710051","0.0134128"
"15.695","0.257301","0.399696","0.0645186","0.00513385","0.0612476","0.0019267","0.130859","3.84E-04","0.0789328","0.00353202","0.000695991","0.0133881"
"15.8775","0.254623","0.399239","0.0645294","0.00513931","0.0614013","0.00192967","0.132864","3.91E-04","0.079883","0.0035854","0.000682144","0.0133626"
"16.06","0.251972","0.398765","0.0645359","0.00514452","0.0615508","0.00193256","0.134873","3.97E-04","0.0808293","0.00363882","0.000668509","0.0133364"
"16.2425","0.249348","0.398275","0.0645379","0.00514948","0.0616958","0.00193535","0.136884","4.03E-04","0.0817715","0.00369227","0.000655084","0.0133095"
"16.425","0.24675","0.397769","0.0645356","0.00515418","0.0618365","0.00193807","0.138898","4.09E-04","0.0827096","0.00374574","0.000641868","0.013282"
"16.6075","0.244178","0.397248","0.0645287","0.00515862","0.0619728","0.00194069","0.140914","0.000415162","0.0836435","0.00379925","0.000628858","0.0132538"
"16.79","0.241632","0.396712","0.0645175","0.00516278","0.0621047","0.00194322","0.142933","0.000421323","0.0845731","0.00385277","0.000616053","0.013225"
"16.9725","0.239112","0.396162","0.0645017","0.00516667","0.0622322","0.00194567","0.144954","0.000427491","0.0854984","0.00390632","0.000603451","0.0131956"
"17.155","0.236617","0.395598","0.0644815","0.00517029","0.0623553","0.00194802","0.146977","0.000433667","0.0864193","0.00395989","0.000591051","0.0131656"
"17.3375","0.234147","0.395021","0.0644568","0.00517362","0.062474","0.00195027","0.149002","0.00043985","0.0873357","0.00401347","0.000578849","0.013135"
"17.52","0.231703","0.39443","0.0644275","0.00517666","0.0625883","0.00195243","0.151029","0.000446039","0.0882475","0.00406706","0.000566845","0.0131038"
"17.7025","0.229283","0.393827","0.0643938","0.00517941","0.0626982","0.0019545","0.153057","0.000452236","0.0891547","0.00412066","0.000555037","0.0130721"
"17.885","0.226888","0.393213","0.0643555","0.00518187","0.0628037","0.00195647","0.155087","0.000458438","0.0900573","0.00417427","0.000543422","0.0130398"
"18.0675","0.224517","0.392586","0.0643127","0.00518403","0.0629047","0.00195833","0.157118","0.000464646","0.0909551","0.00422788","0.000531999","0.013007"
"18.25","0.222171","0.391948","0.0642654","0.00518588","0.0630013","0.0019601","0.15915","0.00047086","0.0918482","0.00428149","0.000520766","0.0129737"
"18.4325","0.219848","0.391299","0.0642137","0.00518743","0.0630934","0.00196177","0.161183","0.000477079","0.0927364","0.0043351","0.000509721","0.0129399"
