t,L,S,E,I_S,I_A,H,R,D,V,J,u_L,u_V,lockdownFlux,Doses
0,0.6,0.3,0.1,3.27E-33,3.76E-33,1.53E-33,9.37E-34,7.66E-36,2.04E-34,0.00E+00,6.18E-05,0.000164928,2.40E+03,5.72E+02
0.1825,0.59557,0.304301,0.0965703,4.15E-04,0.00304264,7.45E-06,5.08E-05,2.29E-08,4.28E-05,1.03E-06,6.18E-05,0.00013458,2.39E+03,5.69E+02
0.365,0.591065,0.308512,0.093425,7.95E-04,0.00589193,2.80E-05,2.00E-04,1.17E-07,8.44E-05,2.58E-06,6.20E-05,0.000132054,2.37E+03,5.68E+02
0.5475,0.586494,0.312632,0.090543,1.14E-03,0.00856217,5.94E-05,4.41E-04,3.16E-07,0.000126402,4.87E-06,6.22E-05,0.000130967,2.35E+03,5.68E+02
0.73,0.581866,0.316664,0.087905,1.46E-03,0.0110666,9.94E-05,0.000770068,6.46E-07,0.000168794,8.11E-06,6.24E-05,0.00013014,2.33E+03,5.68E+02
0.9125,0.577189,0.320609,0.085493,1.75E-03,0.0134175,1.46E-04,0.00118216,1.13E-06,0.000211585,1.24E-05,6.27E-05,0.00012945,2.31E+03,5.67E+02
1.095,0.57247,0.32447,0.0832903,2.02E-03,0.0156261,1.99E-04,0.00167277,1.78E-06,0.000254759,1.80E-05,6.30E-05,0.000128842,2.29E+03,5.67E+02
1.2775,0.567715,0.328248,0.0812814,2.26E-03,0.0177031,2.55E-04,0.00223764,2.61E-06,0.000298298,2.48E-05,6.33E-05,0.000128288,2.27E+03,5.67E+02
1.46,0.562931,0.331945,0.0794518,2.48E-03,0.0196582,3.14E-04,0.0028728,3.63E-06,0.000342184,3.31E-05,6.37E-05,0.00012777,2.26E+03,5.66E+02
1.6425,0.558124,0.335563,0.0777883,2.68E-03,0.0215004,3.76E-04,0.00357448,4.85E-06,0.000386401,4.27E-05,6.41E-05,0.000127278,2.24E+03,5.66E+02
1.825,0.553298,0.339102,0.0762784,2.87E-03,0.023238,4.38E-04,0.00433913,6.26E-06,0.00043093,5.38E-05,6.45E-05,0.000126804,2.22E+03,5.66E+02
2.0075,0.548458,0.342565,0.0749107,3.04E-03,0.0248787,5.01E-04,0.00516341,7.87E-06,0.000475756,6.63E-05,6.49E-05,0.000126344,2.20E+03,5.66E+02
2.19,0.543608,0.345954,0.0736745,3.20E-03,0.0264298,5.64E-04,0.00604416,9.69E-06,0.00052086,8.02E-05,6.54E-05,0.000125894,2.18E+03,5.66E+02
2.3725,0.538753,0.349269,0.07256,3.34E-03,0.0278978,6.26E-04,0.00697844,1.17E-05,0.000566228,9.56E-05,6.58E-05,0.000125453,2.16E+03,5.65E+02
2.555,0.533896,0.352512,0.071558,3.47E-03,0.0292888,6.88E-04,0.00796347,1.39E-05,0.000611844,1.12E-04,6.63E-05,0.000125018,2.14E+03,5.65E+02
2.7375,0.52904,0.355684,0.0706602,3.59E-03,0.0306086,7.48E-04,0.00899663,1.63E-05,0.000657694,1.31E-04,6.67E-05,0.000124588,2.12E+03,5.65E+02
2.92,0.524189,0.358788,0.0698586,3.70E-03,0.0318623,8.06E-04,0.0100755,1.89E-05,0.000703762,1.50E-04,6.72E-05,0.000124163,2.10E+03,5.65E+02
3.1025,0.519344,0.361823,0.069146,3.80E-03,0.0330549,8.63E-04,0.0111977,2.16E-05,0.000750035,1.71E-04,6.76E-05,0.000123743,2.08E+03,5.65E+02
3.285,0.514509,0.364791,0.0685157,3.89E-03,0.0341907,9.18E-04,0.0123612,2.46E-05,0.000796499,1.93E-04,6.81E-05,0.000123326,2.06E+03,5.65E+02
3.4675,0.509686,0.367693,0.0679615,3.98E-03,0.0352741,9.72E-04,0.013564,2.77E-05,0.000843142,2.16E-04,6.85E-05,0.000122913,2.04E+03,5.64E+02
3.65,0.504877,0.370531,0.0674775,4.06E-03,0.0363088,1.02E-03,0.0148041,3.09E-05,0.000889951,2.41E-04,6.90E-05,0.000122504,2.02E+03,5.64E+02
3.8325,0.500084,0.373305,0.0670585,4.13E-03,0.0372983,1.07E-03,0.0160797,3.44E-05,0.000936914,2.66E-04,6.94E-05,0.000122099,2.00E+03,5.64E+02
4.015,0.495309,0.376017,0.0666994,4.20E-03,0.038246,1.12E-03,0.0173893,3.79E-05,0.000984018,2.93E-04,6.98E-05,0.000121697,1.98E+03,5.64E+02
4.1975,0.490552,0.378667,0.0663958,4.26E-03,0.039155,1.16E-03,0.0187313,4.16E-05,0.00103125,3.21E-04,7.03E-05,0.0001213,1.97E+03,5.64E+02
4.38,0.485817,0.381257,0.0661432,4.32E-03,0.0400279,1.21E-03,0.0201043,4.55E-05,0.00107861,3.49E-04,7.07E-05,0.000120907,1.95E+03,5.64E+02
4.5625,0.481103,0.383787,0.065938,4.37E-03,0.0408675,1.25E-03,0.0215068,4.95E-05,0.00112607,3.79E-04,7.11E-05,0.000120518,1.93E+03,5.64E+02
4.745,0.476413,0.386258,0.0657762,4.42E-03,0.0416762,1.29E-03,0.0229377,5.36E-05,0.00117363,4.10E-04,7.15E-05,0.000120133,1.91E+03,5.64E+02
