Sp,Lp,Ip,Sv,Iv
650,250,100,3000,2000
646.85,250.665,102.485,2974.38,1983.62
646.3984465,250.6996239,102.9019296,1582.839208,1056.310018
630.3245623,254.2581367,115.4173009,1672.903065,1116.794465
597.9333219,260.8877849,141.1788932,1708.817125,1141.220698
644.2985973,252.2427124,103.4586903,1634.748485,1092.317824
676.6885748,244.8423495,78.46907571,1771.759055,1184.261511
630.7735236,257.288169,111.9383074,967.8112183,647.2194576
683.8701174,245.6711246,70.45875799,592.8091668,396.691597
686.9987561,244.6667731,68.33447076,188.8538059,126.4733816
605.7066931,268.9504482,125.3428587,196.1427914,131.3849043
635.5754277,262.4733542,101.9512182,258.6415892,173.3067701
630.3585988,263.4275415,106.2138596,296.0452483,198.4313193
643.9902294,260.0258655,95.98390508,229.6068003,153.9729088
618.4804066,266.0268533,115.4927401,213.5085699,143.229079
673.022018,253.9282757,73.04970631,157.6023603,105.7829026
653.554162,259.4286008,87.01723717,162.3961153,109.0274133
641.3822632,262.3763703,96.24136653,166.1451318,111.5774457
635.7505553,263.482479,100.7669657,159.6664266,107.2639864
581.2760509,276.1642111,142.559738,156.4302575,105.1275832
551.2524275,281.2885578,167.4590147,195.6418513,131.5315938
640.9890273,265.6263972,93.38457552,230.9759222,155.3636778
698.7524504,250.6307031,50.61684649,218.1375441,146.7785788
706.8865839,247.2527368,45.86067928,128.1259959,86.23821514
723.2166479,240.493127,36.29022507,124.5754006,83.86216667
724.3535003,239.5732382,36.07326154,143.5620185,96.65424409
716.3180353,242.7236385,40.95832619,139.1502209,93.69609863
726.6974692,238.0585967,35.24393401,163.2942506,109.9667109
729.6990337,236.3211623,33.97980401,111.5432357,75.12967801
743.4804139,229.6702522,26.84933396,79.86948263,53.80477817
714.9680683,243.6043214,41.42761025,38.19818926,25.73757024
693.3703738,252.1505954,54.47903076,46.71570298,31.48029674
677.0306762,257.6385847,65.33073915,48.51812099,32.70085568
679.240992,256.6031845,64.1558235,52.73110084,35.54780156
644.9742561,267.3685057,87.65723822,59.42689679,40.06959097
688.9489272,255.2361669,55.8149059,61.02937571,41.16229972
708.432118,247.9794097,43.58847236,73.78277504,49.77203201
698.8787901,251.4386018,49.6826081,76.68501878,51.73735352
634.12759,275.4663573,90.40605276,59.95710345,40.46040408
616.241227,279.7220988,104.0366742,63.80661875,43.07085341
598.9037124,283.3717876,117.7245,52.97734771,35.77642711
563.4588754,290.6688993,145.8722253,58.7654121,39.69982494
573.894934,287.8888458,138.2162202,48.01328061,32.45617552
537.4378002,294.4434311,168.1187687,30.55815113,20.67237068
563.5696316,289.038921,147.3914474,34.97491034,23.67233463
579.9106823,285.1925363,134.8967814,24.57983744,16.64866011
607.175473,279.0348015,113.7897255,28.18463857,19.09808611
675.409549,263.0283473,61.56210373,33.800067,22.91066769
671.9980721,263.7338524,64.26807553,33.34105649,22.60442475
702.2169161,253.3527038,44.4303801,21.68663192,14.70804228
727.675476,242.5509653,29.77355873,22.04542862,14.95364483
731.7672606,239.9202299,28.31250951,16.91486736,11.47507369
743.3857893,233.465115,23.14909572,23.27710601,15.79235211
767.9334413,219.3737657,12.692793,24.78153545,16.81429842
769.0523641,217.6457705,13.30186541,27.36710736,18.5693509
758.8176451,223.5141969,17.66815791,27.02907931,18.34084483
760.0337001,222.0352506,17.93104924,26.67549261,18.10203738
749.165333,227.8139861,23.02068093,19.81677183,13.44882116
758.898666,221.9616819,19.13965215,22.68232406,15.39462473
769.1393356,215.3678365,15.49282789,24.08659923,16.34873471
767.622905,215.5891978,16.78789719,29.46621016,20.00101273
748.1407917,226.7313463,25.127862,27.51174022,18.67552433
756.5571866,221.8867764,21.55603704,26.58451537,18.04773022
753.3970397,223.0979131,23.50504726,25.34240516,17.20583176
739.6182672,229.9481571,30.43357569,21.19257765,14.38977106
736.3088357,231.1555855,32.53557875,14.82126847,10.06516493
753.4082744,222.9766603,23.61506532,14.81548209,10.06236896
744.9082452,227.0172447,28.07451012,16.48036391,11.19394474
729.6833275,234.11905,36.19762247,20.9564156,14.23529756
717.1249595,239.3040531,43.57098734,25.71613404,17.47026785
718.3956892,238.5615697,43.04274108,23.50222264,15.96888044
707.8733283,242.520275,49.60639663,32.18564823,21.87132157
708.8090052,241.9708549,49.22013988,38.19721912,25.96015739
692.2228348,247.9101801,59.86698511,42.92273632,29.17620405
675.356735,253.3099879,71.33327712,59.76847035,40.63292822
682.1456362,251.0945014,66.7598624,92.97781513,63.21995776
669.1249506,254.9491037,75.92594568,79.64057344,54.16594324
681.099463,251.3245207,67.57601626,78.83768089,53.63409508
691.5715912,247.9211962,60.5072126,74.11591359,50.43436031
680.757283,251.2996487,67.94306828,61.57211218,41.90911118
657.9528492,258.1135347,83.93361604,41.0583685,27.95625704
687.5551215,249.9430351,62.50184338,29.66170664,20.20448685
682.925147,251.2463167,65.82853625,34.08251763,23.22014758
683.6911424,250.8161757,65.49268195,23.09582694,15.7402838
721.6636574,238.7083728,39.62796983,29.63013817,20.19711294
706.0408071,244.9514981,49.0076948,32.81052855,22.36776136
699.4652957,247.1580149,53.37668946,62.25062958,42.44160345
680.0923356,253.8241709,66.08349349,35.35647404,24.11336995
