t,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
7.0,0.005576870231,0.005576870231,0.005576870231,0.005576870231000006,0.005576870231,0.005576870231
8.0,0.010056432598201838,0.011039911251059336,0.011637984209361575,0.01172686117982779,0.012333501298736702,0.01387618164203914
9.0,0.015073655441004379,0.017587363941963943,0.019257945574466143,0.019618232233930236,0.021269525042145656,0.025996069829644156
10.0,0.021484940352207244,0.025944420112858826,0.02893958701846571,0.029652909132390784,0.03266182672393784,0.04165351535629795
11.0,0.029371897022660253,0.03616965938036371,0.04101512678810078,0.042094182125777826,0.046730656287390315,0.060785645928475
12.0,0.03930269719263342,0.048785119589589435,0.055633918230166564,0.05712541115713823,0.06385456792832246,0.083758750413896
13.0,0.05122165823809483,0.06382016107617683,0.07276499827035585,0.07475521755317532,0.08352048014372451,0.10949404821070595
14.0,0.065055733474906,0.08134122173463579,0.09247426854675728,0.09484472879574467,0.10615299635457724,0.13650979839411895
15.0,0.08084402260256082,0.10122544461157795,0.11492265613849206,0.11730406669002015,0.1311340225347463,0.1662204096504601
16.0,0.09892912784363053,0.12353417033788387,0.13971124105418695,0.14190596916025452,0.1582903668667751,0.19598678593635482
17.0,0.11900041353036037,0.14811243283072095,0.16660699398642573,0.1683279998630019,0.1868388676546541,0.22657994942452164
18.0,0.141177641956793,0.1743528469493486,0.19489593158734989,0.19625424476292616,0.2170021772559701,0.2573795368755196
19.0,0.16451562142844747,0.20249424681005795,0.2249042638293383,0.22542673795586507,0.24822715833126086,0.2879985081661986
20.0,0.19064701212628474,0.23207574557689875,0.25571653270082845,0.2555259436117561,0.2798246229932167,0.3176416256576111
21.0,0.21871543986721445,0.26285986757434093,0.28745539409819315,0.286272144499054,0.31126621773130364,0.3466649459429914
22.0,0.247987856006779,0.29472488639353006,0.32002623177093165,0.31736593666583346,0.34260319905366604,0.37456041430645837
23.0,0.27861680345710943,0.32678069122180087,0.3521898607966964,0.3485453439446836,0.37333491641595995,0.40146694655424114
24.0,0.31035220614476955,0.3593944929618618,0.3839817926051717,0.3795874431904625,0.40342082321263256,0.42776850957878076
25.0,0.34331193118928727,0.3922775994183688,0.41541429569564403,0.4103102914931134,0.4325938174741366,0.4529825123550369
26.0,0.3765619196172728,0.4248472030445218,0.44612505619321424,0.44053869343188595,0.4609926521302529,0.4777953066479795
27.0,0.410728329153085,0.45702506722836456,0.4758431342918432,0.4701441945201479,0.4882644082184896,0.5027615053250915
28.0,0.44450902108818224,0.4884311908807062,0.5044963669397803,0.4990009498057739,0.5142375580413809,0.5281804735685951
29.0,0.4783348591033617,0.5187145380861681,0.531605580508656,0.5270262689660172,0.5392521061267301,0.5543192888865047
30.0,0.5118652991571269,0.5475680426000544,0.5568559023678841,0.5541986495319391,0.5642446929363497,0.5804533045972462
31.0,0.5441985498494343,0.5736607266086271,0.5815105461537232,0.5804808271475098,0.5892624692651991,0.6072077623184827
32.0,0.5757362508220971,0.5976735735080994,0.6057969355023592,0.6058628827623107,0.6145529542086003,0.6341371193793579
33.0,0.6030871544740289,0.6204721090338503,0.6297823012968347,0.630334738582337,0.6396748708686002,0.66136434108641
34.0,0.6246307467313537,0.6425077352832728,0.6530435868278397,0.6539163537174205,0.6644418656456113,0.6880617443811662
35.0,0.6428207354523139,0.6635850157126169,0.6756759217528959,0.676625198912131,0.6888411640401784,0.7149002581628792
36.0,0.6592051408162202,0.6835937132457859,0.6976005241479996,0.698483207334315,0.712834493988183,0.7421843815420548
37.0,0.6743816110765823,0.7024635733133173,0.7186036731563061,0.7195121198695484,0.7360106445016245,0.7692912642215144
38.0,0.6889966486917186,0.720187622761603,0.7388791151983908,0.7397494712699508,0.7584779004876577,0.7953654091126026
39.0,0.7031053606849529,0.7372485843378314,0.7582037257350716,0.7592329991344389,0.7801564468899638,0.8222114339562191
40.0,0.7164522171911601,0.7537447349753539,0.776680046196173,0.7780011786547131,0.8008873773063155,0.8477548844630889
41.0,0.7293570336419137,0.7694118596411175,0.7942527190495785,0.7960919827490059,0.8210918440140629,0.8723421559107988
42.0,0.7423404168130884,0.7847206400826888,0.8113568305156557,0.8135428378821747,0.8404628315500838,0.8973617490011758
43.0,0.7549406296305609,0.7994401570353195,0.827837724905564,0.8303916229749946,0.8589404606025114,0.9215571160779498
44.0,0.7667782799944185,0.8136463974828113,0.8437104156665891,0.8466696241626298,0.8767099578705965,0.9441150308168482
45.0,0.7782927917192682,0.8273990739236566,0.8591361697880295,0.862378694188555,0.8939344417064563,0.9665228507995893
46.0,0.789852745238532,0.8409306476613025,0.8741421949974899,0.8774185877332055,0.9105703182847366,0.9881229255795757
47.0,0.8008507993315008,0.8538520435822874,0.888648528683697,0.8916730033280429,0.9265439389405796,1.0
48.0,0.8115428704521889,0.8663810523769897,0.9026812242533739,0.9050716099808506,0.9420928797403197,1.0
49.0,0.8217975986775415,0.8788050812680849,0.9162209354538491,0.917572406806172,0.9571832446375002,1.0
50.0,0.8318058050015716,0.8908818792399407,0.9293855041256843,0.929044779260894,0.9719640310423254,1.0
