t,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
27.0,0.001,0.001,0.001,0.0010000000000000007,0.001,0.001
28.0,0.0010083645650440628,0.001009031601867189,0.0010094129366444813,0.0010094473034313921,0.001009838858695387,0.001010718035033448
29.0,0.0010594406865818261,0.0010663675061692547,0.0010704611473066569,0.0010709372256677205,0.0010750522669912606,0.0010848770808064886
30.0,0.001181491417279822,0.0012070866577499743,0.0012230302571852613,0.001224921074009653,0.0012403614473966622,0.001281008248915692
31.0,0.0013924022365725149,0.0014548080617689733,0.0014944307971854825,0.0015006868487717688,0.0015396317850919613,0.001644752987899505
32.0,0.0017035741825933081,0.001825186441318308,0.0019046053116020289,0.0019203479916296618,0.001999193912625761,0.002230258825472236
33.0,0.0021147810375570274,0.0023301685695829477,0.002469008804385237,0.0024986068776011033,0.0026339743469819825,0.00305930935005124
34.0,0.0026412868229601905,0.0029710724514086287,0.003195374364191751,0.003247996890451253,0.003468109785717862,0.00414583605680713
35.0,0.0032623299358748832,0.0037526647733032953,0.00409114213260685,0.004173161705719993,0.004504101060347312,0.0055691847628597715
36.0,0.003986514838251841,0.004673886248864504,0.005148538446132947,0.005272547343203974,0.005737555897617658,0.007279496303460681
37.0,0.00480725694412938,0.005741819601003564,0.006372503714520713,0.006546451218930031,0.007160275442841232,0.009272068018852627
38.0,0.005735541225930447,0.006924141458687706,0.007753323447919433,0.00798854986588296,0.008790865787840869,0.01161278430893336
39.0,0.006799604740376238,0.008242554653727176,0.009300632203566046,0.009594916071843172,0.0106281614324665,0.014119105461751314
40.0,0.007918818695561668,0.009685973887806454,0.010979510581682084,0.011358799029627588,0.012639428489698007,0.016947249873532397
41.0,0.009109772107285034,0.011228133762170578,0.012794580557622708,0.01327325968570395,0.014808559335521403,0.0201317685147851
42.0,0.010372031799766023,0.012883489369825262,0.014746845209309401,0.01533675129298052,0.017149474553251342,0.023539451737609594
43.0,0.011737384702859144,0.014631820032360424,0.01682212570070508,0.01753894985967492,0.019638119519503634,0.02721456026180538
44.0,0.013175072544311535,0.01649341743691607,0.019045072693511755,0.019877937586668896,0.022325784660861447,0.03126917784970816
45.0,0.014630378235947514,0.018407166027350055,0.021377554568247175,0.022346186507592788,0.025094126156031064,0.03565294446393594
46.0,0.01617212095822327,0.020442779678481047,0.023819696660017327,0.024934706133844835,0.028071493762125893,0.04007321258075229
47.0,0.017735699724209533,0.0225844599547682,0.026327138721940393,0.027636997876536843,0.03121536906360789,0.04475056518568972
48.0,0.019449665663116147,0.02485782602575445,0.0289596739599902,0.0304478066197146,0.034313094211424366,0.04989719953461116
49.0,0.021169938209230674,0.027172549126003472,0.03165156842901092,0.03336149162001862,0.03758892816625197,0.05527457501492285
50.0,0.02307750280695337,0.029546263039337287,0.03449611929080595,0.036376414246182064,0.041088383591343106,0.0610859918971088
51.0,0.02489741777413362,0.03192721760218102,0.0373904652415727,0.039476710917510795,0.04464186447046519,0.06678451905362759
52.0,0.0268020389816346,0.034435591799918217,0.040400208893813926,0.04265878748899628,0.04842085068050608,0.07286126407330897
53.0,0.02875666282858541,0.03702927627201413,0.0434231431519089,0.04592018711151289,0.052141895019271016,0.07845343991592561
54.0,0.030750304237557407,0.03965603060048903,0.046552992044035166,0.04925847677291703,0.05602986143032173,0.08424941129685637
55.0,0.03277208551702854,0.04230079301473603,0.04973854588361246,0.0526625513047996,0.06013498589222086,0.09041189000556578
56.0,0.03479170362396349,0.04497727165224826,0.05297494277790168,0.056119660036716486,0.06407212395103588,0.09632984315739382
57.0,0.03689795456304846,0.04770801595239883,0.05633287113038497,0.05963504943114146,0.06820852513578331,0.1022271455810962
58.0,0.03895912739361052,0.05038902327488989,0.059705122449031894,0.06320874367256013,0.07227021782013632,0.10800381566981103
59.0,0.04099962180858339,0.05324279646335554,0.0630889741453919,0.06683878985729458,0.0763932558481095,0.1141985771085447
60.0,0.04307891555101444,0.056201568226263425,0.06660124844389406,0.07051585054350333,0.08068501537260223,0.12060208811208484
61.0,0.04545344176769686,0.05912548350387667,0.07004532181436177,0.07423337811527674,0.08490076187235411,0.1275924919555699
62.0,0.04761212130415402,0.06205648786806647,0.07371999436687442,0.07799114663766865,0.08900083051766268,0.13469805376036942
63.0,0.0498711978584168,0.06503625714020599,0.07721904529594024,0.0817760953676198,0.0934139322123012,0.1406791200062687
64.0,0.05229081369932842,0.06800083923297097,0.08080702644402502,0.0855878871053506,0.09776859408489713,0.14700021289745988
65.0,0.054566888887509477,0.07099490627685116,0.08443262308350775,0.08943006043903862,0.10219479681163421,0.15314691727891827
66.0,0.056988915643527704,0.07412933938627482,0.08805860574192415,0.09330709261629108,0.10675458422435231,0.15976030191871377
67.0,0.05936824399240019,0.07722445177877078,0.09170774369793314,0.09721891380854872,0.11118447226725402,0.16637865933161153
68.0,0.06180779841155835,0.08025819288915172,0.09545288440112787,0.10114772970178569,0.11567309689868481,0.1726767288818214
69.0,0.06422461676093262,0.083511911655442,0.09917249515927046,0.10509480111661705,0.12036726197560754,0.17887453907451845
70.0,0.06661336238655434,0.08676850236257146,0.10298780958707246,0.10905863863865033,0.12508547761957947,0.18498518405168357
