t,Q05_S_p,Q25_S_p,Q50_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Q50_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Q50_I_v,Mean_I_v,Q75_I_v,Q95_I_v,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
21.0,0.9079833883,0.9079833883,0.9079833883,0.9079833882999993,0.9079833883,0.9079833883,0.005,0.005,0.005,0.005,0.005,0.005,0.8,0.8,0.8,0.8000000000000006,0.8,0.8,0.005576870231,0.005576870231,0.005576870231,0.005576870231000006,0.005576870231,0.005576870231
22.0,0.7160328557238377,0.7954704455325385,0.8361779948634106,0.8263782143565174,0.8681526058294248,0.9040963288102338,0.002944675841621582,0.005782557063466221,0.009179345338747674,0.011557708422922334,0.014556456437498524,0.028041698666405893,1.1687388700071488,1.1687462126634418,1.1687546094523076,1.1687589674717556,1.1687664863663132,1.1687943844177924,0.010329833932964801,0.01130341266991457,0.012148846313847675,0.01230193939031948,0.013111924976920392,0.014830342773044848
23.0,0.5296876721306816,0.6685213858835946,0.7436973469761978,0.7258144538388904,0.8009841443326237,0.8594734458725762,0.004641841550064048,0.009852681386784077,0.016936649140023057,0.0227562591949416,0.029174615671861866,0.06089014110716312,1.525997366731877,1.526042406010092,1.526099529642005,1.5261403252889987,1.5261906628034962,1.5264259579114328,0.017674360488567586,0.0204481612877491,0.022988011231569135,0.023569212924067724,0.02601963248678535,0.031651161160132966
24.0,0.3565191303963197,0.5338521252547062,0.637225816714587,0.6163145888482948,0.7189930889178174,0.8028024986767182,0.007701972272221338,0.016712887343061627,0.02936733845110492,0.038818884437020855,0.05059958000089348,0.10378961160876109,1.8721822736949127,1.8723364184739708,1.8725342664296114,1.8726872382197135,1.8728615940395559,1.8737443186055538,0.028322047577097432,0.03381456655316507,0.03869495097613669,0.0398653681117061,0.044753406792705445,0.05547744084524908
25.0,0.2218958151398116,0.39792115989452564,0.520188075660531,0.5051132817241971,0.625799496004315,0.7378073146754635,0.012310685333546583,0.026952305483894805,0.047485611543234656,0.05996365136867289,0.08004786878720554,0.1519707272823838,2.2077189655948777,2.2081244290521287,2.2086418716784024,2.2090112081268787,2.209485352145815,2.211626999530788,0.042941870947861914,0.05179407769348915,0.059705874033099175,0.06121099590735599,0.06894752758201693,0.08496000709717992
26.0,0.12405551306811424,0.278388668325886,0.40184644797885943,0.4010708662783913,0.5261338681698184,0.6693997787492016,0.01873944314404492,0.04192700725661589,0.07252578803097051,0.0856373313901208,0.11675381221171807,0.19866792951028814,2.533076359796958,2.5339587886527455,2.5351033497985793,2.5357832050020024,2.536874222449446,2.5410280194479644,0.06176008275938479,0.07452468228995193,0.08569709330792101,0.08720095795955986,0.09849718707020703,0.1182998017646271
27.0,0.0658387840696163,0.17763779376412558,0.2988896293764084,0.31052438856783193,0.43222692579757577,0.5988406019889511,0.02679859459256458,0.06134339726100501,0.10255336916753452,0.11467990426323525,0.15761781742537587,0.24325117696114773,2.848685289066982,2.8504625552442704,2.8526033262565123,2.853690552326894,2.8558448591034544,2.8626085114765027,0.08414781511036792,0.10185538210118031,0.11601355705044063,0.11702360908628974,0.13150115196198275,0.1538746493034254
28.0,0.034888214189495816,0.10869787718567751,0.20857572112739822,0.23463611789112532,0.33646197468323236,0.5215934918936331,0.038511200235896596,0.08638702137208691,0.13765917068997346,0.14592508528160097,0.19710446832521072,0.2826973899448584,3.15509122169331,3.158235287451363,3.161933046017485,3.163402239609283,3.1671792346607375,3.1772111659522775,0.11039775410698754,0.13265269755211528,0.14958582833829284,0.14972522986138379,0.16688101869329167,0.18979304483043527
29.0,0.017341938664738252,0.06273925196440401,0.13885431325861913,0.17245982468010784,0.2502254140353208,0.44361183905453955,0.05289856888944068,0.11668340537890395,0.1745957901591192,0.1791937424560513,0.23820463305400394,0.3186216715470544,3.4529219314631687,3.45807673309274,3.4637425271958504,3.465578072069333,3.471340190312721,3.4849530277374305,0.1404105662505119,0.16688670426134272,0.1855680100709189,0.18446041220902215,0.20351649628751659,0.22545745723655033
30.0,0.009742335535262612,0.03525025634062762,0.08430988612556757,0.12280647210607089,0.17669582504779244,0.3678632308305623,0.07124428122471681,0.15122509428675296,0.21506929877942238,0.21391948792583154,0.2766908422227797,0.353552497198471,3.74251932852235,3.7506053566477746,3.7588621231635826,3.7608397899029122,3.769121085586975,3.786231914173615,0.1734034932328296,0.2030081246210709,0.22250827277229496,0.22038761565878429,0.240243572902103,0.25995604558574964
31.0,0.005868594852017228,0.01995330667995423,0.05023783560848733,0.08536064786976118,0.11659200736976412,0.2864720380907065,0.09591049657493485,0.18827775371742866,0.2530554902912619,0.24881772155267387,0.3126098691102893,0.384855354794897,4.024609258803971,4.0365034678972895,4.047848346488849,4.04975375975759,4.061178830644304,4.0816508551120885,0.20957274686399324,0.24053304699840497,0.2599671922456752,0.25678460026812805,0.2764936936777339,0.29336377718833745
32.0,0.004054241661867934,0.011691944469355545,0.02953246345867561,0.05828163457873228,0.07405676222219694,0.21394200852846934,0.1275523852127647,0.2263130222522451,0.28994850555958274,0.28337883529607594,0.3468316377212971,0.4155227828806915,4.300194826454947,4.316692056007652,4.331190977366078,4.332797393610037,4.347380655960072,4.371412941087052,0.24743573207918457,0.2785308043119646,0.2969948499447568,0.29302638180750107,0.3116844989131913,0.32552945613276213
33.0,0.0031743901706249994,0.007557923396808283,0.01786686757878108,0.03976221277523127,0.046687500359787804,0.1556472966978446,0.1621085612336625,0.263407496930345,0.3249020782696169,0.3168749228340508,0.3790109792451858,0.443471633714228,4.569396771461013,4.591465536315106,4.609159831880892,4.610387040244718,4.628316197445964,4.655590967605999,0.2859012944003715,0.31621413248639185,0.33309154049219464,0.3286480566765755,0.3457800758178849,0.35629328433493246
34.0,0.0026396527650384334,0.00559248022005931,0.011681748591248693,0.02743488023021038,0.029120817510249475,0.11094210349505682,0.1975081692432744,0.2989251844646296,0.3579823785589467,0.34906785154434794,0.40903421833972015,0.4695596845482226,4.833366808863658,4.861022030051916,4.88212606567584,4.8828554533082205,4.904134977897207,4.934737617491898,0.3246943232075817,0.3530311497315224,0.36788545201415634,0.3633019627724401,0.3785224333609066,0.3858755108549308
35.0,0.0023839975378749587,0.004579844791913583,0.008331211908336897,0.0191765625970998,0.018765389622950917,0.0756642661524967,0.23249848928275416,0.33344511398454024,0.3891698538111447,0.37998871917130705,0.4374665875550423,0.4939505313430476,5.092318470283467,5.125965808602697,5.150354680776229,5.150499593150463,5.175275528359608,5.208913400696527,0.36281002355381425,0.38856823607061,0.4012610359726277,0.3967921996047554,0.40962358618154493,0.41578155507181974
