t,Q05_S_p,Q25_S_p,Q50_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Q50_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Q50_I_v,Mean_I_v,Q75_I_v,Q95_I_v,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
0.0,0.9079833883,0.9079833883,0.9079833883,0.9079833882999993,0.9079833883,0.9079833883,0.005,0.005,0.005,0.005,0.005,0.005,0.8,0.8,0.8,0.8000000000000006,0.8,0.8,0.005576870231,0.005576870231,0.005576870231,0.005576870231000006,0.005576870231,0.005576870231
1.0,0.8606583389170552,0.8745867846373055,0.8804310971258203,0.8781776906272812,0.8844632404427635,0.8886707096412086,0.0035654676405887644,0.005939042609350386,0.00870709795156385,0.010956310901209956,0.013268714644792358,0.025363615658096358,1.1656642689847185,1.1656704200367287,1.1656773308305195,1.165681574820226,1.165687604662547,1.1657136488275923,0.011606111569777916,0.011669233314145802,0.011715866126564741,0.011714813723594026,0.011759913056057553,0.011824475818323452
2.0,0.8032326602235393,0.8336430780492246,0.8441163873961518,0.8388637845166326,0.8506464500269058,0.8569876899545354,0.004999701687315298,0.008729595537516153,0.013467822590297511,0.018743322927697814,0.022076074006344818,0.050105841143022134,1.5188258544841455,1.5188592351821475,1.5188998284648794,1.5189360651030914,1.5189692053691268,1.5191680050353842,0.019294267788966167,0.019472704546236185,0.01959840428115292,0.01959421698918609,0.019719478906851926,0.019887491061002956
3.0,0.7374740131212448,0.7849975271141529,0.8006958973013603,0.7919811433135795,0.8101744012560476,0.8185551104636651,0.007136634275947893,0.01236801538868692,0.019681528623576694,0.02862116371398631,0.033261167556525646,0.07859908947553704,1.8599515713066104,1.860050805285175,1.8601756949900345,1.8603064434450038,1.8603951876398344,1.8610897047413217,0.029087841945321814,0.02942387907258816,0.029644164064326767,0.029627624833970415,0.029856979069285024,0.030098879681667873
4.0,0.6619630788455235,0.7304802612495062,0.7522937750018316,0.7395047069209293,0.765241144469098,0.7763565041062029,0.00964385664584585,0.0168489793606437,0.027228304014664067,0.04083404756495516,0.047189320353809024,0.11541983182040164,2.189504832033577,2.18973102883656,2.1900179797696775,2.190351410858493,2.190552725228295,2.192312686271606,0.04131078685516859,0.041816955871477296,0.042132566917131534,0.04208588309985602,0.04241720519474783,0.04268616357322503
5.0,0.579027326163244,0.6722222160611168,0.7006938749509364,0.683381434184553,0.7167690474468063,0.7310828487948541,0.012947616868324126,0.02310557253553137,0.036576758125731725,0.05538288729307323,0.06342043862436073,0.15956707214714963,2.507942250449733,2.508386556240752,2.508960456729595,2.5096471181666358,2.5100290949392865,2.5135824736062578,0.05610801442885524,0.056797263164816876,0.05719976957864192,0.057111263282911294,0.05752141520051647,0.057823489493515234
6.0,0.4946223603314505,0.6094452152285041,0.6460077042119459,0.625137368911552,0.6671532973335201,0.6848104456692801,0.017029702028508203,0.030259258891337334,0.04904065002736275,0.07250913288808877,0.08500110163651033,0.20839282293049297,2.815735010480924,2.8165216272745597,2.8175471064883872,2.8187930095882407,2.8194528697111023,2.82592465400081,0.07350788434004492,0.07438344501187996,0.07486541214415739,0.07473092026643963,0.07523134060588427,0.0755739216088373
7.0,0.4086681117668217,0.5480676596029019,0.5915545185971129,0.5672501759671148,0.6172473739953357,0.6382320697965826,0.022231328876114696,0.03917122414173494,0.0628111466590243,0.0912777234103669,0.1073595799258598,0.2612905371043891,3.1133532665117705,3.1146635390735598,3.1163439431839906,3.118375534609531,3.1195506250039258,3.1303494772230636,0.09326700718569848,0.09451827586919309,0.09508846772267673,0.0948647583744328,0.09550820730091104,0.09590414624586202
8.0,0.32837617017212195,0.4842619580803253,0.5370420345338597,0.5101525537446553,0.5673589129081158,0.593345633569109,0.028115554665870554,0.04991950233073067,0.0795938598958875,0.1123510072469068,0.1352613108342019,0.3164676098487388,3.401260411101936,3.4033606418991957,3.4058846005794936,3.408985372162108,3.4108192172895975,3.427119727010935,0.11489762949952252,0.11706508914608689,0.11776339980026147,0.11735125495470058,0.11825002276846125,0.11871084267196755
9.0,0.24894007475404542,0.42110008219741085,0.4827331252426774,0.45404979047093236,0.5201607578011453,0.5501285336711725,0.03530219008356976,0.06144488158035312,0.09950097448705657,0.13658271771409877,0.16761138327785133,0.3794611360445141,3.6799117762734843,3.683032596432246,3.686722293037972,3.691259606679263,3.6941626213692524,3.71832447981228,0.13752159571584885,0.14176844830380683,0.14272268028323198,0.14196631624393294,0.14333042102874044,0.14386670484965608
