u1	u2	u3
0.133333	0.22	0.16
0.106667	0.02	0.106667
0.0266667	0.04	0.0533333
0	0.12	0.0533333
0.0266667	0.16	0.426667
0.24	0.14	0.373333
0.213333	0.26	0.16
0.0266667	0.02	0.266667
0.0266667	0.02	0.0533333
0.133333	0.28	0
0.0533333	0.06	0.0533333
0.08	0.06	0.213333
0.106667	0.3	0.533333
0	0.16	0.32
0.08	0.28	0.48
0.0266667	0.3	0.32
0.0266667	0.2	0.0533333
0	0.08	0
0.346667	0.24	0.64
0	0.12	0.0533333
0	0.22	0
0.106667	0	0.693333
0.213333	0.02	0.266667
0	0.24	0.8
0.186667	0.28	0.586667
0	0.22	0.373333
0.106667	0.3	0.8
0.0266667	0.04	0.373333
0.133333	0.14	0.373333
0	0.08	0.586667
0	0.1	0.32
0.0266667	0.14	0.64
0	0.02	0.106667
0.0533333	0.26	0.0533333
0	0.26	0.32
0.106667	0	0.266667
0.08	0.24	0.373333
0.24	0.04	0.533333
0	0.1	0.426667
0.08	0.02	0.426667
0.24	0.04	0.48
0.0266667	0.02	0.373333
0.133333	0	0.64
0.373333	0.18	0.266667
0.0533333	0.18	0.426667
0.0533333	0.02	0.48
0	0.28	0.266667
0.0533333	0.18	0.586667
0.266667	0.18	0.16
0.0266667	0.16	0.586667
0.213333	0.26	0
0.0266667	0.14	0.213333
0.0533333	0.18	0.0533333
0	0.06	0.533333
0.0266667	0	0.32
0	0.14	0.746667
0.24	0.22	0
0.213333	0.3	0.32
0.346667	0.12	0.0533333
0.08	0.26	0.0533333
0.213333	0.04	0.586667
0	0.12	0.373333
0	0.18	0.16
0	0.2	0.266667
0.213333	0.04	0.48
0.106667	0.14	0.266667
0.0533333	0.08	0.8
0.0533333	0.28	0.533333
0.0266667	0.3	0.586667
0.0266667	0.16	0.8
0.373333	0.14	0.8
0.346667	0.28	0.746667
0.0266667	0.18	0.64
0.08	0.16	0.32
0.266667	0.28	0.266667
0.133333	0.24	0.213333
0.0533333	0.3	0.8
0.0533333	0.3	0.533333
0.0266667	0.3	0
0.0266667	0.02	0.32
0	0.22	0.0533333
0.133333	0.26	0.213333
0.32	0.04	0.426667
0.0266667	0.28	0.533333
0	0.12	0.106667
0.0266667	0.2	0
0.0266667	0.06	0.213333
0.0266667	0.02	0.533333
0.133333	0.06	0.426667
0	0.16	0.266667
0.16	0.26	0.32
0	0.26	0.0533333
0.0266667	0.06	0.266667
0.08	0.2	0.533333
0	0.16	0.373333
0.24	0.06	0.106667
0.16	0.3	0.48
0	0.08	0.746667
0	0.16	0.693333
0.4	0.04	0.64
0	0.1	0.0533333
0.0266667	0.14	0.106667
0.16	0.14	0.8
0.16	0.08	0.373333
0	0.12	0.16
0.08	0.12	0.533333
0.0266667	0.02	0.16
0.0533333	0.08	0.426667
0.0533333	0.16	0.426667
0.16	0.26	0.48
0	0.16	0.16
0.0266667	0.26	0.106667
0.133333	0.14	0.426667
0.373333	0.02	0.373333
0	0	0.64
0.0266667	0	0.0533333
0.213333	0.02	0.106667
0.0266667	0.28	0.746667
0	0.28	0.266667
0.0266667	0.3	0.586667
0	0.08	0.16
0.373333	0.22	0.0533333
0.373333	0.3	0
0.4	0.22	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0.4	0.3	0
0	0	0
