Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.676675,0.244321,0.079004,0.50995,0.49005
0.649306,0.252139,0.0985556,0.518915,0.481085
0.623265,0.258568,0.118167,0.526972,0.473028
0.688267,0.24531,0.0664235,0.534213,0.465787
0.654386,0.255919,0.0896944,0.540756,0.459244
0.6618,0.254188,0.0840124,0.546632,0.453368
0.676083,0.250527,0.0733897,0.551923,0.448077
0.676164,0.25062,0.0732165,0.55669,0.44331
0.669176,0.252739,0.0780842,0.56098,0.43902
0.715581,0.239857,0.0445619,0.564838,0.435162
0.695341,0.247748,0.0569106,0.568329,0.431671
0.707235,0.24365,0.0491148,0.571464,0.428536
0.695926,0.2478,0.0562738,0.57429,0.42571
0.677888,0.25396,0.068152,0.576828,0.423172
0.700959,0.246776,0.0522652,0.579106,0.420894
0.710831,0.243111,0.0460582,0.581165,0.418835
0.717766,0.240299,0.041935,0.583022,0.416978
0.725395,0.237047,0.0375584,0.584695,0.415305
0.729256,0.235207,0.0355373,0.586204,0.413796
0.724963,0.236908,0.0381289,0.587563,0.412437
0.713974,0.24141,0.0446154,0.588784,0.411216
0.681563,0.253982,0.0644544,0.589879,0.410121
0.6968,0.248947,0.054253,0.590853,0.409147
0.693971,0.249782,0.0562475,0.591736,0.408264
0.669609,0.258063,0.072328,0.592529,0.407471
0.66397,0.259567,0.0764637,0.593233,0.406767
0.716061,0.244344,0.0395955,0.593865,0.406135
0.731355,0.237569,0.031076,0.594455,0.405545
0.719361,0.242954,0.0376849,0.594991,0.405009
0.738121,0.234492,0.0273866,0.595469,0.404531
0.721038,0.242748,0.0362145,0.595906,0.404094
0.706533,0.248878,0.0445894,0.596294,0.403706
0.680384,0.259055,0.0605615,0.596638,0.403362
0.674082,0.260909,0.065009,0.596938,0.403062
0.680244,0.258635,0.0611206,0.597205,0.402795
0.645628,0.269991,0.0843812,0.597448,0.402552
0.65373,0.267433,0.0788376,0.597653,0.402347
0.649911,0.268233,0.0818565,0.597841,0.402159
0.663277,0.264167,0.0725552,0.598008,0.401992
0.667358,0.262645,0.0699973,0.598163,0.401837
0.665346,0.26299,0.0716646,0.598305,0.401695
0.649214,0.267632,0.083154,0.598432,0.401568
0.647453,0.267827,0.0847204,0.598539,0.401461
0.638565,0.269971,0.0914643,0.598634,0.401366
0.614272,0.276,0.109727,0.598716,0.401284
0.55712,0.288849,0.154031,0.598779,0.401221
0.583877,0.283402,0.132722,0.598809,0.401191
0.561469,0.2875,0.151031,0.598848,0.401152
0.564646,0.286383,0.148971,0.598873,0.401127
0.573963,0.284131,0.141905,0.598897,0.401103
0.575758,0.28331,0.140933,0.598922,0.401078
0.58565,0.280929,0.133421,0.598945,0.401055
0.578422,0.281954,0.139623,0.598971,0.401029
0.602948,0.27674,0.120312,0.59899,0.40101
0.58015,0.281286,0.138564,0.599019,0.400981
0.630408,0.271036,0.0985566,0.599034,0.400966
0.677968,0.25896,0.063072,0.599072,0.400928
0.657677,0.265368,0.0769548,0.599127,0.400873
0.641937,0.269673,0.0883901,0.599168,0.400832
0.644933,0.268562,0.0865051,0.599198,0.400802
0.64559,0.268082,0.0863274,0.599227,0.400773
0.635465,0.270527,0.0940074,0.599252,0.400748
0.676076,0.259823,0.0641009,0.599271,0.400729
0.696953,0.252732,0.0503153,0.599305,0.400695
0.676698,0.260041,0.0632613,0.599344,0.400656
0.681689,0.258111,0.0602004,0.599372,0.400628
0.670295,0.261691,0.0680139,0.599399,0.400601
0.656534,0.265744,0.0777216,0.599418,0.400582
0.636891,0.271151,0.0919585,0.59943,0.40057
0.639541,0.270137,0.0903227,0.599432,0.400568
0.609715,0.277676,0.112608,0.599434,0.400566
0.647695,0.268646,0.0836592,0.599423,0.400577
0.663668,0.263905,0.0724274,0.599431,0.400569
0.646158,0.268928,0.0849138,0.599444,0.400556
0.627109,0.273847,0.0990438,0.599449,0.400551
0.652408,0.267216,0.0803755,0.599445,0.400555
0.66969,0.262,0.0683105,0.599452,0.400548
0.643781,0.269859,0.0863595,0.599466,0.400534
0.623569,0.275036,0.101395,0.599468,0.400532
0.667139,0.264009,0.0688515,0.59946,0.40054
0.677263,0.260521,0.0622165,0.599473,0.400527
0.682067,0.258619,0.0593138,0.599488,0.400512
0.664838,0.264229,0.0709338,0.599504,0.400496
0.639148,0.271842,0.0890094,0.599511,0.400489
0.645115,0.269908,0.0849773,0.599506,0.400494
0.670003,0.262735,0.0672616,0.599505,0.400495
0.682278,0.25853,0.0591927,0.599514,0.400486
0.685073,0.257278,0.0576494,0.599527,0.400473
0.68245,0.257902,0.0596481,0.59954,0.40046
0.694885,0.253383,0.0517316,0.59955,0.40045
0.686863,0.25606,0.0570778,0.599564,0.400436
0.67256,0.260775,0.0666649,0.599573,0.400427
0.690245,0.254864,0.0548913,0.599576,0.400424
0.692368,0.253828,0.0538044,0.599586,0.400414
0.687988,0.255133,0.0568788,0.599595,0.400405
0.679856,0.257705,0.0624391,0.599601,0.400399
0.682813,0.256466,0.0607209,0.599604,0.400396
0.669512,0.260671,0.0698165,0.599607,0.400393
0.663019,0.262415,0.0745664,0.599604,0.400396
0.687052,0.255037,0.0579113,0.599599,0.400401
0.689132,0.254062,0.0568063,0.599605,0.400395
0.676764,0.258117,0.0651191,0.59961,0.40039
