Time,y,Interpolate_Ip
0,0,0
1,8.33E-04,0
2,0.001666667,1
4,0.0025,2
5,0.003333333,3
6,0.004166667,4
7,0.005,5
8,0.005285714,5
9,0.005571429,5
10,0.005857143,5
11,0.006142857,6
12,0.006428571,6
13,0.006714286,6
14,0.007,7
15,0.007125,7
16,0.00725,7
17,0.007375,7
18,0.0075,7
19,0.007625,7
20,0.00775,7
21,0.007875,7
22,0.008,8
23,0.0095,9
24,0.011,11
25,0.0125,12
26,0.014,14
27,0.0155,15
28,0.017,17
29,0.0185,18
30,0.02,20
31,0.1575,157
32,0.295,295
33,0.4325,432
34,0.57,570
35,0.612857143,612
36,0.655714286,655
37,0.698571429,698
38,0.741428571,741
39,0.784285714,784
40,0.827142857,827
41,0.87,870
