Time,Interpolate_Ip
0,10
1,14.7382561
2,19.10259234
3,23.31736064
4,27.60691292
5,32.19560107
6,37.30777703
7,43.1677927
8,50
9,57.91776484
10,66.59050917
11,75.57666891
12,84.43468
13,92.72297839
14,100
15,105.9927299
16,111.1023499
17,115.8985906
18,120.9511831
19,126.8298581
20,134.1043464
21,143.344379
22,155.1196866
23,170
24,188.4123104
25,210.2126495
26,235.1143096
27,262.8305825
28,293.0747606
29,325.5601357
30,360
31,396.2557905
32,434.7815241
33,476.1793623
34,521.0514671
35,570
36,623.1038949
37,678.3491735
38,733.1986295
39,785.1150567
40,831.561249
41,870
42,898.6464915
43,918.7254568
44,932.2140175
45,941.089295
46,947.3284105
47,952.9084856
48,959.8066416
49,970
