"","cum_cases.1000","dates.Time_LA_1582"
"1",0.006,21
"2",0.051,22
"3",0.083,23
"4",0.105,24
"5",0.119,25
"6",0.126,26
"7",0.13,27
"8",0.13,28
"9",0.13,29
"10",0.13,30
"11",0.13,31
"12",0.13,32
"13",0.13,33
"14",0.13,34
"15",0.13,35
"16",0.13,36
"17",0.13,37
"18",0.13,38
"19",0.13,39
"20",0.13,40
"21",0.13,41
"22",0.13,42
"23",0.133,43
"24",0.139,44
"25",0.148,45
"26",0.159,46
"27",0.173,47
"28",0.187,48
"29",0.213,49
"30",0.237,50
"31",0.257,51
"32",0.272,52
"33",0.285,53
"34",0.296,54
"35",0.308,55
"36",0.324,56
"37",0.343,57
"38",0.364,58
"39",0.386,59
"40",0.408,60
"41",0.429,61
"42",0.448,62
"43",0.451,63
"44",0.453,64
"45",0.454,65
"46",0.456,66
"47",0.457,67
"48",0.459,68
"49",0.46,69
