"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.0926816804253986,5.96548965582027e-05,0.00589137256804332,0.0782420124294719,0.0893308690246092,0.0940674254882695,0.0973358900389516,0.0997355824013034,9753.05745137357,0.999672605372833
"theta[2]",0.00542146715955309,3.66559429514671e-05,0.00361230423674603,0.00162160274749632,0.00301707647465402,0.00444045116497131,0.00665358508191052,0.0150870895074025,9711.35542418879,0.999736933749807
"theta[3]",0.00757254082986021,5.56086982521672e-05,0.00559101460408041,0.00177815646438462,0.0036585822292175,0.00578040848819231,0.00957111675187275,0.0237082918832739,10108.7113539757,1.00022932523001
"theta[4]",0.0974612373838301,2.41674693952825e-05,0.00244844609794936,0.0909547242969594,0.0964164916829897,0.0982038992281969,0.0992530101750371,0.0999321851040069,10264.0495637395,1.00012835921994
"theta[5]",0.00393809707743032,2.41789732740486e-05,0.0023795161380471,0.000365573251009494,0.00207803110901857,0.00366755217675568,0.00547156740783237,0.00916471860755834,9685.04401327185,1.00038822497225
"theta[6]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.50187640730539,0.999499874937461
"theta[7]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.50187640730539,0.999499874937461
"theta[8]",0.402534831033176,0.000487716922729271,0.0490406672427508,0.307098869407625,0.369092109217229,0.402815762781908,0.435005737678873,0.499626369429492,10110.6037757624,0.999856415807112
"theta[9]",1,NA,0,1,1,1,1,1,NA,NA
"theta[10]",52.3717847272465,0.0247814345787062,2.34572978534133,50.0623894243164,50.7013607292329,51.7051967982773,53.281081768933,58.5487581464913,8959.89824101071,1.00005815677406
"R_0",0.239440137659563,0.0023904090002984,0.235669611745669,0.0130685806203437,0.0781666930255606,0.164138164915488,0.321112888890701,0.878365456757495,9719.9211533895,1.00039884511381
"y_init[1]",933,NA,0,933,933,933,933,933,NA,NA
"y_init[2]",65,NA,0,65,65,65,65,65,NA,NA
"y_init[3]",2,NA,0,2,2,2,2,2,NA,NA
"y_init[4]",28871.7847272465,24.781434578706,2345.72978534133,26562.3894243164,27201.3607292329,28205.1967982773,29781.081768933,35048.7581464913,8959.89824101079,1.00005815677406
"y_init[5]",3500,NA,0,3500,3500,3500,3500,3500,NA,NA
"y_init[6]",20000,NA,0,20000,20000,20000,20000,20000,NA,NA
"y_init[7]",2,NA,0,2,2,2,2,2,NA,NA
