Time,Interpolate_Ip,,,
0,10,,,
1,15,,,
2,20,,,
3,25,,,
4,30,,,
5,35,,,
6,40,,,
7,45,,,
8,50,,,
9,58.33333333,,,
10,66.66666667,,,
11,75,,,
12,83.33333333,,,
13,91.66666667,,,
14,100,,,
15,107.7777778,,,
16,115.5555556,,,
17,123.3333333,,,
18,131.1111111,,,
19,138.8888889,,,
20,146.6666667,,,
21,154.4444444,,,
22,162.2222222,,,
23,170,,,
24,197.1428571,,,
25,224.2857143,,,
26,251.4285714,,,
27,278.5714286,,,
28,305.7142857,,,
29,332.8571429,,,
30,360,,,
31,452,,,
32,544,,,
33,636,,,
34,728,,,
35,820,,,
36,840,,,
37,860,,,
38,880,,,
39,900,,,
40,920,,,
41,940,,,
42,943.75,,,
43,947.5,,,
44,951.25,,,
45,955,,,
46,958.75,,,
47,962.5,,,
48,966.25,,,
49,970,,,
