time,Interpolate_Ip
0,10.0
1,14.738256100269858
2,19.10259234378237
3,23.317360644591943
4,27.606912916752982
5,32.1956010743199
6,37.30777703134711
7,43.167792701889006
8,50.0
9,57.9177648436481
10,66.59050916645567
11,75.57666890595868
12,84.4346799996931
13,92.72297838519489
14,100.0
15,105.992729931788
16,111.10234986881275
17,115.89859064947167
18,120.95118311216224
19,126.82985809528188
20,134.10434643722803
21,143.34437897639813
22,155.11968655118963
23,169.99999999999997
24,188.4123103681083
25,210.2126495283204
26,235.11430956032376
27,262.8305825438059
28,293.07476055845433
29,325.56013568395656
30,360.0
31,396.255790528453
32,434.7815240599072
33,476.17936232713487
34,521.0514670629083
35,570.0000000000001
36,623.103894876342
37,678.3491734505058
38,733.1986294862222
39,785.1150567472226
40,831.5612489972382
41,870.0
42,898.646491459144
43,918.725456837926
44,932.2140175395064
45,941.0892949670454
46,947.3284105237037
47,952.908485612642
48,959.8066416370207
49,970.0
