"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.0047482322949522,0.00207572471499779,0.00293625235319783,0.00154131618058884,0.00197701595351391,0.00469397435143109,0.00746356132549793,0.00806461070727827,2.00100071105197,6174.09118503634
"theta[2]",0.01,0,0,0.01,0.01,0.01,0.01,0.01,2.00300450676012,0.998999499499374
"theta[3]",0.01,0,0,0.01,0.01,0.01,0.01,0.01,2.00300450676012,0.998999499499374
"theta[4]",0.0747939471604467,0.00863518947377782,0.0122150753321351,0.0581127294925078,0.0689642081822324,0.0742811072260539,0.0800761387498726,0.0925285631022472,2.00100676411551,1333.65989263539
"theta[5]",0.00336281377830324,0.00202370110688192,0.00286266134447739,0.00131753918227646,0.00171214004284569,0.00191556173093634,0.00356663138250783,0.00830296464393278,2.00100055355364,8979.43359612253
"theta[6]",0.06,0,0,0.06,0.06,0.06,0.06,0.06,2.00300450676012,0.998999499499374
"theta[7]",0.06,0,0,0.06,0.06,0.06,0.06,0.06,2.00300450676012,0.998999499499374
"theta[8]",0.205398725921242,0.0323238665312851,0.0457254255139369,0.175522422125267,0.175980251258083,0.18091301365483,0.209991065806346,0.284939994716556,2.00110050513716,320.616495525938
"theta[9]",0.470424919169793,0.0976368092681827,0.138113837580917,0.370474741454179,0.388557258172522,0.401352255709376,0.483273092316021,0.708544521115509,2.00100064373179,4349.81338676891
"R_0",0.00848775267460908,0.0030479406295601,0.00431152073195186,0.00202047110261839,0.00590065070059939,0.00946968494855819,0.0120518886210832,0.013001283703622,2.00100397390238,1737.27294311239
"y_init[1]",0.900000141455024,2.70221931785938e-09,1.44403072660499e-07,0.900000003436238,0.900000040835648,0.900000096589965,0.900000192975453,0.900000541928886,2855.69407229334,1.00852911968146
"y_init[2]",0.0999998585449758,2.70221935766769e-09,1.44403072660225e-07,0.0999994580711136,0.0999998070245475,0.0999999034100355,0.099999959164352,0.0999999965637617,2855.69398814399,1.00852911968723
"y_init[3]",0,NA,0,0,0,0,0,0,NA,NA
"y_init[4]",0.00838760857371638,0.000117360540466449,0.000166015146563972,0.00815752161636543,0.00827299725877832,0.008400316616104,0.00851480716433188,0.00859232499068728,2.00101905652972,553.040288453026
"y_init[5]",0.00558012236576589,0.000999659393809036,0.00141408556345858,0.00360022909385378,0.00492704021605186,0.00556981878806396,0.00622260525680864,0.00758050611366185,2.00100085519951,3009.43244662106
"y_init[6]",0,NA,0,0,0,0,0,0,NA,NA
