"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.000955143589760432,3.32171482596029e-05,0.00151721806919946,4.25351938168096e-06,9.48832148545548e-05,0.000373609004404487,0.00109750996243425,0.00538180361318704,2086.27388939816,1.00003838516766
"theta[2]",0.000278420774187551,6.25126810613496e-06,0.000279821779802843,6.66005674308772e-06,7.72744607173347e-05,0.00019335387565488,0.000387665025032673,0.00106831987238957,2003.67268760559,0.999408218495198
"theta[3]",0.0995088361364145,0.00130321648830048,0.0584602393101746,0.00471574071516343,0.0491270122170617,0.0996638121931746,0.149582661328347,0.195460082638139,2012.27830800532,1.00032867616284
"theta[4]",0.0999016092329601,2.24121120574738e-06,9.83951828162282e-05,0.09962981820975,0.0998629608694794,0.0999325515222026,0.0999720092837342,0.0999977374210324,1927.44548504832,0.999357507781091
"theta[5]",0.0508729371487557,0.000631134833864779,0.0282888746583188,0.00255012192836105,0.0271281002099812,0.0511926785296849,0.075628936213331,0.0969069101967753,2009.03286660216,0.9998678046594
"theta[6]",0.276934837869391,0.00329340547010374,0.140889798552747,0.0198908720040238,0.162030929318697,0.288911320088114,0.398150369397528,0.490176735552536,1830.07416993028,1.00092098103711
"theta[7]",0.270164060073846,0.00316327294770393,0.141919372397643,0.0136881256877465,0.155632742445467,0.276704019695126,0.39271424916554,0.490660845910023,2012.84359184536,0.999468244877724
"theta[8]",0.269702802921742,0.00652595442063203,0.273944127088601,0.00180651318381504,0.0414248124422106,0.167046258100793,0.438895446096217,0.928384496463611,1762.12176805594,0.999243621640679
"theta[9]",0.267093693015958,0.00596586591557508,0.272795854285818,0.0016150214034453,0.0397804176867478,0.163667544664235,0.434219356871367,0.923878427970797,2090.87733784791,0.999255729573949
"R_0",0.00340272769106648,0.000432508022812054,0.019526430602394,1.9518223452899e-06,7.16116164534024e-05,0.000370277271950748,0.00152797927925496,0.0198660831133768,2038.2497084771,0.9998502505109
