t,Sp,Lp,Ip,Sv,Iv,Bp,Bv,uL,uI,uV
0,650,250,100,3000,2000,0,0,0.2,0.075,1
0.14,657.538,243.058,99.4038,1176.57,785.079,0.0315404,0.704189,0,0.075,0
0.28,642.644,246.729,110.626,1243.6,830.083,-0.120613,0.603851,0.1,0,0
0.42,614.216,249.998,135.786,1270.39,848.286,-0.443227,0.55781,0.1,0.3,1
0.56,669.048,238.213,92.7393,1037.57,693.222,0.0381686,0.611084,0.4,0.225,1
0.7,715.469,217.933,66.598,979.368,654.562,0.454466,0.469485,0,0,0
0.84,673.146,230.235,96.6184,535.074,357.769,-0.134948,1.15213,0.1,0.075,0.25
0.98,726.167,216.499,57.3344,309.115,206.806,0.494372,1.73308,0,0.225,0.75
1.12,730.056,216.202,53.7421,66.1083,44.2694,0.590837,2.7648,0,0,0.25
1.26,658.842,239.643,101.515,66.4315,44.4939,-0.581657,2.6926,0,0.15,0
1.4,687.164,234.019,78.817,87.6851,58.7444,-0.235469,2.19092,0,0.075,0
1.54,682.703,235.583,81.7149,100.453,67.3138,-0.261161,1.9561,0,0,1
1.68,693.705,232.925,73.3694,63.933,42.8608,-0.0674868,2.28707,0,0.3,1
1.82,674.107,239.336,86.5571,50.5863,33.9238,-0.343654,2.38148,0,0,0
1.96,719.763,228.108,52.129,37.4266,25.1086,0.293262,2.76981,0.1,0.3,1
2.1,708.238,230.797,60.9646,33.4102,22.4183,0.0591503,2.71014,0.4,0,0.5
2.24,710.287,221.382,68.3301,31.9281,21.4282,-0.0583746,2.66168,0,0.075,1
2.38,705.339,223.322,71.3397,26.2984,17.6546,-0.0895301,2.70838,0.1,0.15,0.75
2.52,664.135,233.014,102.851,23.0892,15.5042,-0.706621,2.72636,0.1,0.225,0.5
2.66,644.118,235.67,120.212,27.3458,18.3677,-0.977009,2.32886,0.4,0.3,1
2.8,738.746,208.198,53.0557,28.542,19.1784,-0.137363,2.03872,0,0.3,0.25
2.94,780.879,195.926,23.1947,26.0421,17.5017,0.628604,2.11086,0,0,0.75
3.08,784.322,194.206,21.4724,12.6467,8.50028,0.837409,2.73052,0,0.225,0.75
3.22,793.97,189.512,16.5179,11.0529,7.42916,1.21421,2.76003,0,0,1
3.36,792.979,189.881,17.1399,11.2743,7.57799,1.31771,2.5134,0.2,0.3,1
3.5,791.918,188.434,19.6485,9.43375,6.34084,1.22423,2.54756,0,0.225,0
3.64,797.712,185.66,16.6288,11.1549,7.49767,1.50652,2.26857,0,0.075,0.25
3.78,798.171,185.372,16.4565,7.31353,4.9157,1.6529,2.74151,0,0.225,0.25
3.92,806.368,180.837,12.7949,5.06502,3.40422,2.04223,3.16392,0.3,0.3,0
4.06,793.271,186.283,20.4462,2.50647,1.6843,1.42515,3.95091,0.1,0.075,0.75
4.2,779.85,192.213,27.9369,2.88626,1.93919,1.06559,3.59607,0,0.075,0.25
4.34,767.361,198.241,34.3985,2.9807,2.00239,0.844338,3.52392,0,0,0.75
4.48,767.188,198.641,34.1708,3.0107,2.02235,0.930793,3.37777,0,0.3,0.5
4.62,743.327,209.328,47.3448,3.26636,2.1939,0.446785,3.17007,0.1,0,1
4.76,775.286,196.73,27.9842,2.98133,2.0024,1.06318,3.11566,0.1,0.225,1
4.9,790.271,188.966,20.763,3.27109,2.19679,1.45239,2.78227,0,0,0.75
5.04,782.18,193.215,24.6052,3.14038,2.10876,1.33631,2.70899,0,0.225,0.25
5.18,737.865,215.163,46.9717,2.42956,1.63122,0.227258,3.03045,0.1,0.225,0
5.32,728.41,217.336,54.254,2.66968,1.79231,0.0359743,2.91894,0.1,0,0.5
5.46,717.804,219.019,63.1767,2.1139,1.41912,-0.13557,3.16605,0.1,0.225,0
5.6,696.17,224.136,79.6945,2.42902,1.63059,-0.498284,2.98541,0.3,0.15,0.25
5.74,713.241,213.586,73.1726,1.98379,1.33177,-0.369298,3.25274,0,0,0.75
5.88,685.605,221.27,93.1257,1.13847,0.764235,-0.71379,3.79695,0,0,0
6.02,703.587,217.759,78.6535,1.38714,0.931025,-0.450341,3.56211,0,0.225,0.5
6.16,716.11,215.746,68.1437,0.961897,0.645484,-0.264149,4.0046,0,0.225,0.5
